item_name,item_category,item_price_AMBA,item_price_restoPBA,item_price_CCL,item_price_neaNOA,item_price_Patagonia
Pan para pancho Veneziana x 210 gr,Panificados,"$ 45,00","$ 46,58","$ 47,48","$ 48,15","$ 48,60"
Pan rallado Mama Cocina x 1 kg,Almacén,"$ 115,00","$ 119,03","$ 121,33","$ 123,05","$ 124,20"
Pan rallado Morixe x 1 kg,Almacén,"$ 89,00","$ 92,12","$ 93,90","$ 95,23","$ 96,12"
Pan rallado Morixe x 500 gr,Almacén,"$ 54,00","$ 55,89","$ 56,97","$ 57,78","$ 58,32"
Papa comercial Supermercado x 1 kg,Frutas y verduras,"$ 26,00","$ 26,91","$ 27,43","$ 27,82","$ 28,08"
Papel higiénico Doble hoja 20 mts Elite x 4 un,Limpieza,"$ 90,00","$ 93,15","$ 94,95","$ 96,30","$ 97,20"
Papel higiénico Doble hoja blanco 30 mts Sweety x 4 un,Limpieza,"$ 112,00","$ 115,92","$ 118,16","$ 119,84","$ 120,96"
Papel higiénico Doble hoja blanco 50 mts Campanita XL x 4 un,Limpieza,"$ 214,00","$ 221,49","$ 225,77","$ 228,98","$ 231,12"
Papel higiénico Hoja Simple Flor Cadenas 80 mts Elite x 4 un,Limpieza,"$ 130,00","$ 134,55","$ 137,15","$ 139,10","$ 140,40"
Pasta dental 2 Fluor Fresh Dent x 140 gr,Perfumería,"$ 103,00","$ 103,00","$ 103,00","$ 103,00","$ 103,00"
Pasta dental Dientes blanco Odol x 90 gr,Perfumería,"$ 79,00","$ 79,00","$ 79,00","$ 79,00","$ 79,00"
"Pasta dental Kid´s con fluor, sabor Tutti Frutti Fresh Dent x 90 gr",Perfumería,"$ 70,00","$ 70,00","$ 70,00","$ 70,00","$ 70,00"
Pasta dental Ultra blanqueadora Colgate x 90 gr,Perfumería,"$ 141,00","$ 141,00","$ 141,00","$ 141,00","$ 141,00"
Pañales descartables Supersec Talle G Pampers x 46 un,Bebés,"$ 650,00","$ 650,00","$ 650,00","$ 650,00","$ 650,00"
Pañales descartables Supersec Talle M Pampers x 54 un,Bebés,"$ 650,00","$ 650,00","$ 650,00","$ 650,00","$ 650,00"
Pañales descartables Supersec Talle P Pampers x 30 un,Bebés,"$ 360,00","$ 360,00","$ 360,00","$ 360,00","$ 360,00"
Pañales descartables Supersec Talle XG Pampers x 36 un,Bebés,"$ 650,00","$ 650,00","$ 650,00","$ 650,00","$ 650,00"
Pañales descartables Supersec Talle XXG Pampers x 34 un,Bebés,"$ 650,00","$ 650,00","$ 650,00","$ 650,00","$ 650,00"
Pañales descartables Triple Protección G Huggies x 22 un,Bebés,"$ 330,00","$ 330,00","$ 330,00","$ 330,00","$ 330,00"
Pañales descartables Triple Protección M Huggies x 26 un,Bebés,"$ 330,00","$ 330,00","$ 330,00","$ 330,00","$ 330,00"
Pañales descartables Triple Protección XG Huggies x 18 un,Bebés,"$ 330,00","$ 330,00","$ 330,00","$ 330,00","$ 330,00"
Pañales descartables Triple Protección XXG Huggies x 17 un,Bebés,"$ 330,00","$ 330,00","$ 330,00","$ 330,00","$ 330,00"
Pañales descartables Ultrasec Talle G Babysec x 22 un,Bebés,"$ 305,00","$ 305,00","$ 305,00","$ 305,00","$ 305,00"
Pañales descartables Ultrasec Talle M Babysec x 26 un,Bebés,"$ 305,00","$ 305,00","$ 305,00","$ 305,00","$ 305,00"
Pañales descartables Ultrasec Talle XG Babysec x 18 un,Bebés,"$ 305,00","$ 305,00","$ 305,00","$ 305,00","$ 305,00"
Pañales descartables Ultrasec Talle XXG Babysec x 16 un,Bebés,"$ 305,00","$ 305,00","$ 305,00","$ 305,00","$ 305,00"
Paño Amarillo Multiuso Twist Virulana x 1 un,Limpieza,"$ 43,90","$ 43,90","$ 43,90","$ 43,90","$ 43,90"
Pañuelos descartables Doble hoja Campanita Box x 75 un,Limpieza,"$ 40,00","$ 40,00","$ 40,00","$ 40,00","$ 40,00"
Pañuelos descartables Minipocket Elite x 6 un,Limpieza,"$ 45,00","$ 45,00","$ 45,00","$ 45,00","$ 45,00"
Pepas con membrillo Tía Maruca x 250 gr,Almacén,"$ 54,00","$ 55,89","$ 56,97","$ 57,78","$ 58,32"
Picada común Supermercado x 1 kg,Carnes y embutidos,"$ 169,00","$ 174,92","$ 178,30","$ 185,90","$ 185,90"
Pollo Entero aditivado con menudos fresco o congelado Supermercado x 1 kg,Carnes y embutidos,"$ 108,00","$ 111,78","$ 113,94","$ 115,56","$ 116,64"
Postre Arroz con leche clásico Sublime x 160 gr,Lácteos,"$ 40,00","$ 40,00","$ 40,00","$ 40,00","$ 40,00"
Postre Chocolate Blanco con Dulce de Leche x 2 unidades Sublime x 100 gr,Lácteos,"$ 48,50","$ 50,44","$ 50,44","$ 50,44","$ 50,44"
Postre Chocolate con Dulce de Leche Shimy x 120 gr,Lácteos,"$ 36,00","$ 37,44","$ 37,44","$ 37,44","$ 37,44"
